District,Production(Tonnes),Mean Price(Rs./Quintal)
Doddaballa Pur_2010_1_January,14,928
Gonikappal_2010_1_January,10,1200
Gubbi_2010_1_January,51,848
Harappana Halli_2010_1_January,16,757
Hassan_2010_1_January,254,898
Holenarsipura_2010_1_January,246,923
Hosadurga_2010_1_January,107,896
Huliyar_2010_1_January,149,822
K.R. Pet_2010_1_January,8,1000
K.R.Nagar_2010_1_January,14,882
Kadur_2010_1_January,365,1003
Madhugiri_2010_1_January,7,1160
Malur_2010_1_January,1,1200
Mysore (Bandipalya)_2010_1_January,161,891
Nagamangala_2010_1_January,554,992
Piriya Pattana_2010_1_January,85,854
Ramanagara_2010_1_January,10,1020
Shimoga_2010_1_January,4,1100
Sira_2010_1_January,13,965
Tarikere_2010_1_January,39,778
Tumkur_2010_1_January,57,866
Arasikere_2010_8_August,852,860
Bangalore_2010_8_August,984,1312
Belur_2010_8_August,62,893
Bhadravathi_2010_8_August,3,983
Chamaraj Nagar_2010_8_August,5,900
Channarayapatna_2010_8_August,86,824
Chikkamagalore_2010_8_August,27,912
Chintamani_2010_8_August,57,922
Davangere_2010_8_August,3,850
Doddaballa Pur_2010_8_August,3,950
Gonikappal_2010_8_August,20,1200
Gubbi_2010_8_August,69,858
Hanagal_2010_8_August,2,760
Harappana Halli_2010_8_August,106,791
Hassan_2010_8_August,405,933
Holenarsipura_2010_8_August,176,879
Honnali_2010_8_August,6,775
Hosadurga_2010_8_August,215,819
Huliyar_2010_8_August,34,827
K.R.Nagar_2010_8_August,12,840
Kadur_2010_8_August,491,888
Kottur_2010_8_August,7,812
Madhugiri_2010_8_August,6,962
Moodigere_2010_8_August,6,900
Mulabagilu_2010_8_August,1,1000
Mysore (Bandipalya)_2010_8_August,208,864
Nagamangala_2010_8_August,443,952
Piriya Pattana_2010_8_August,69,851
Ramanagara_2010_8_August,1,1000
Shimoga_2010_8_August,132,987
Sira_2010_8_August,16,998
Sirsi_2010_8_August,6,12711
Tarikere_2010_8_August,81,829
Tumkur_2010_8_August,130,956
Arasikere_2011_1_January,1091,789
Bangalore_2011_1_January,797,1192
Belur_2011_1_January,37,860
Bhadravathi_2011_1_January,16,1043
Channarayapatna_2011_1_January,7,826
Chikkamagalore_2011_1_January,2,920
Chintamani_2011_1_January,197,938
Hassan_2011_1_January,322,773
Holenarsipura_2011_1_January,724,830
Hosadurga_2011_1_January,16,800
Huliyar_2011_1_January,34,750
Kadur_2011_1_January,501,831
Kanakapura_2011_1_January,4,1008
Kolar_2011_1_January,60,1085
Koppa_2011_1_January,1,1000
Kottur_2011_1_January,5,705
Madhugiri_2011_1_January,8,1000
Mysore (Bandipalya)_2011_1_January,98,812
Nagamangala_2011_1_January,842,893
Piriya Pattana_2011_1_January,229,850
Sakaleshpura_2011_1_January,3,800
Sira_2011_1_January,7,992
Tarikere_2011_1_January,34,845
Tumkur_2011_1_January,430,962
Arasikere_2011_8_August,924,839
Bangalore_2011_8_August,844,1094
Belur_2011_8_August,41,800
Bhadravathi_2011_8_August,19,950
Chamaraj Nagar_2011_8_August,18,975
Channagiri_2011_8_August,17,917
Channarayapatna_2011_8_August,115,816
Chickkaballapura_2011_8_August,4,1000
Chikkamagalore_2011_8_August,2,1000
Chintamani_2011_8_August,147,918
Doddaballa Pur_2011_8_August,35,932
Gubbi_2011_8_August,130,946
Harappana Halli_2011_8_August,622,827
Hassan_2011_8_August,393,841
Holenarsipura_2011_8_August,305,847
Hosadurga_2011_8_August,184,867
Huliyar_2011_8_August,190,832
Hunsur_2011_8_August,9,800
K.R.Nagar_2011_8_August,2,800
Kadur_2011_8_August,765,838
Kanakapura_2011_8_August,18,922
Kollegal_2011_8_August,56,927
Kunigal_2011_8_August,30,818
Madhugiri_2011_8_August,5,991
Mysore (Bandipalya)_2011_8_August,209,846
Nagamangala_2011_8_August,576,903
Pandavapura_2011_8_August,5,960
Piriya Pattana_2011_8_August,149,908
Ramanagara_2011_8_August,157,783
Shimoga_2011_8_August,91,1090
Sira_2011_8_August,6,1000
Tarikere_2011_8_August,74,825
Tumkur_2011_8_August,649,1054
Arasikere_2012_1_January,1077,854
Bangalore_2012_1_January,934,1123
Belur_2012_1_January,8,800
Bhadravathi_2012_1_January,1,1000
Chamaraj Nagar_2012_1_January,1,1000
Channarayapatna_2012_1_January,75,899
Chikkamagalore_2012_1_January,18,904
Chintamani_2012_1_January,97,912
Doddaballa Pur_2012_1_January,17,830
Gubbi_2012_1_January,66,917
Harappana Halli_2012_1_January,43,930
Hassan_2012_1_January,386,845
Holenarsipura_2012_1_January,78,991
Hosadurga_2012_1_January,163,880
Huliyar_2012_1_January,670,863
Hunsur_2012_1_January,67,879
K.R.Nagar_2012_1_January,3,800
Kadur_2012_1_January,751,883
Kolar_2012_1_January,20,1000
